section,route,verbe,entrees,sortie,description_logique
identite,/auth/register,POST,"cle_publique, pseudo, (optionnel: email)","userid / erreur","Declare un compte decentralise. Assigne un userid. Refuse si cle deja connue ; pseudo unique ; email (si fourni) unique ; email et cle_publique jamais publics"
identite,/auth/challenge,POST,"cle_publique","defi (nonce aleatoire)","Genere un nonce a duree courte (defi_duree_secondes) et le memorise"
identite,/auth/login,POST,"cle_publique, signature_du_defi","token","Verifie la signature Ed25519 du defi. Si ok -> renvoie le token existant (si encore valide) sinon en cree un. UN seul token par compte, partage entre appareils"
identite,/auth/logout,POST,"token","ok","Revoque le token (deconnecte TOUTES les plateformes d'un coup)"
profil,/me,GET,"token","mon profil complet","Mes infos privees"
profil,/me/update,POST,"token, champs (pseudo, bio, avatar_url...)","profil a jour","Champs optionnels. Pseudo re-verifie unique"
profil,/users/{userid},GET,"token (optionnel)","profil PUBLIC","Sous-ensemble visible (pseudo, bio, limité si token absent) (statut en ligne si token et que les user sont amis)"
profil,/users/search,GET,"token, q (pseudo)","liste de profils publics","Recherche par pseudo (pour trouver qui ajouter)"
profil,/me/delete,POST,"token, signature de confirmation","ok","Supprime le compte du serveur (l'identite decentralisee survit)"
amis,/friends/request,POST,"token, user id cible","ok / erreur","Cree une amitie 'pending'. Refuse si deja amis / deja demande / bloque"
amis,/friends/accept,POST,"token, user id cible (inversé à request)","ok","'pending' -> 'accepted' (seul le destinataire peut)"
amis,/friends/refuse,POST,"token, user id cible (inversé à request)","ok","Supprime la demande recue"
amis,/friends/cancel,POST,"token, user id cible","ok","J'annule MA demande envoyee"
amis,/friends/remove,POST,"token, user id","ok","Supprime une amitie acceptee"
amis,/friends,GET,"token","liste des amis acceptes","Ma liste d'amis + status + serveur (selon les critaires de partage d'information des amis en question)"
amis,/friends/requests,GET,"token","demandes recues + envoyees","Les amities en attente me concernant"
amis,/users/block,POST,"token, user id","ok","Bloque : ne peut plus me redemander ni voir mon statut"
amis,/users/unblock,POST,"token, user id","ok","Debloque"
presence,/presence/heartbeat,POST,"token, (optionnel: serveur d'où je joue)","ok","Horodate last_seen en RAM. Ping toutes les ping_intervalle_secondes"
serveurs_jouables,/servers/register,POST,"token, infos serveur (nom, adresse, jeu, visibilite)","serveur id","Un serveur jouable se declare. visibilite = nobody/friends/friends_plus/invite/invite_plus"
serveurs_jouables,/servers/heartbeat,POST,"token, serveur id, joueurs nbr","ok","Le serveur prouve qu'il est vivant"
serveurs_jouables,/servers,GET,"token","serveurs vivants que JE peux rejoindre","Filtre par la visibilite de chaque serveur. Authentifie : aucun niveau n'est public"
divers,/health,GET,"(rien)","ok","Le serveur repond ? (monitoring, aucun token)"
divers,/version,GET,"(rien)","version de l'API","Compatibilite des clients"
amis,/users/blocked,GET,"token","liste des comptes bloques","Qui j'ai bloque. Necessaire pour pouvoir debloquer : sans ca, le blocage serait sans retour"
